neutre,phase1,phase2,phase3,time
167.48,157.71,150.39,147.95,14:47:35
134.28,140.14,143.55,150.88,14:47:36
132.81,137.21,140.62,149.9,14:47:37
128.91,138.18,146.48,148.93,14:47:38
128.42,141.11,146.97,143.55,14:47:39
130.86,142.09,141.6,136.72,14:47:40
135.25,136.23,136.72,137.21,14:47:41
127.44,140.62,143.07,141.11,14:47:43
177.25,170.41,161.62,148.93,14:54:29
141.11,150.88,145.02,140.14,14:54:30
139.16,141.6,140.14,139.65,14:54:31
132.81,137.21,140.62,147.95,14:54:32
130.86,135.74,139.16,146.0,14:54:33
127.93,140.14,147.95,143.55,14:54:34
128.42,138.18,147.46,145.51,14:54:35
129.88,141.6,141.11,137.21,14:54:36
135.25,135.74,136.72,140.14,14:54:37
132.81,137.7,136.23,137.21,14:54:38
129.88,134.28,138.18,145.51,14:54:39
131.84,132.81,136.23,144.04,14:54:40
126.46,133.3,141.6,152.34,14:54:41
126.95,137.7,148.44,146.0,14:54:42
136.72,141.11,136.23,132.32,14:54:43
133.79,136.72,134.77,134.77,14:54:44
127.93,133.3,139.65,148.93,14:54:45
129.88,133.3,135.74,143.07,14:54:46
134.28,133.79,134.28,140.14,14:54:47
131.84,134.77,134.28,137.7,14:54:48
130.37,133.3,140.62,149.41,14:54:49
128.42,132.81,136.72,147.95,14:54:50
126.46,133.3,146.0,151.86,14:54:52
126.46,137.7,148.44,146.48,14:54:53
125.98,139.65,148.93,148.44,14:54:54
127.44,142.09,145.02,139.65,14:54:55
134.28,141.6,138.18,132.81,14:54:56
136.23,137.7,134.77,133.3,14:54:57
130.86,133.3,135.74,144.04,14:54:58
126.46,138.18,148.93,144.53,14:54:59
126.95,136.72,148.93,144.53,14:55:00
126.95,142.09,145.51,138.18,14:55:01
136.23,141.6,139.65,131.84,14:55:02
130.86,142.58,141.11,132.81,14:55:03
135.74,138.67,135.25,131.35,14:55:04
133.79,134.28,134.77,138.18,14:55:05
134.28,134.77,134.28,136.23,14:55:06
126.95,132.81,137.7,148.93,14:55:07
126.46,133.79,145.02,150.39,14:55:08
126.95,138.67,148.93,144.53,14:55:09
130.37,142.58,144.04,136.72,14:55:10
130.37,143.07,146.0,135.25,14:55:11
129.39,142.09,146.97,140.14,14:55:12
135.25,143.07,141.11,132.32,14:55:13
135.25,144.04,143.07,131.84,14:55:14
136.23,139.65,136.23,129.88,14:55:15
133.79,134.77,135.25,136.23,14:55:16
129.88,133.3,140.14,148.44,14:55:17
125.98,134.77,146.48,150.39,14:55:18
129.88,142.58,137.7,134.28,14:55:19
134.28,144.04,142.09,132.32,14:55:20
134.77,139.65,136.23,131.35,14:55:21
134.77,133.79,139.65,147.46,14:55:22
125.98,134.77,147.46,146.0,14:55:23
125.49,133.79,146.97,151.86,14:55:24
128.42,138.67,148.93,144.04,14:55:25
126.46,136.72,149.41,143.07,14:55:26
130.37,142.58,143.55,136.72,14:55:27
135.74,141.11,137.21,131.84,14:55:28
133.3,136.23,135.25,134.77,14:55:29
136.23,136.23,134.28,131.35,14:55:30
132.81,133.3,135.25,140.14,14:55:31
125.98,132.81,143.55,151.37,14:55:32
127.44,136.23,148.44,146.0,14:55:33
127.93,142.58,137.21,134.77,14:55:34
170.41,158.2,147.46,145.51,14:55:40
138.67,138.18,143.07,148.44,14:55:41
127.93,136.23,145.02,153.81,14:55:42
128.42,139.65,149.41,146.48,14:55:43
131.84,143.07,145.02,137.21,14:55:44
136.23,141.6,138.67,132.81,14:55:45
135.25,133.79,134.28,140.62,14:55:46
131.84,132.81,138.67,147.46,14:55:47
126.95,132.32,136.72,150.39,14:55:48
125.98,137.21,147.46,142.58,14:55:49
131.35,143.07,136.23,135.74,14:55:50
131.35,133.3,135.25,143.55,14:55:51
129.39,133.3,134.77,143.07,14:55:52
127.44,134.28,141.11,151.86,14:55:53
126.46,132.32,140.62,152.83,14:55:54
126.46,136.72,148.44,147.46,14:55:55
130.37,142.58,145.02,136.23,14:55:56
136.23,140.14,136.72,132.32,14:55:57
133.79,134.28,134.28,136.23,14:55:58
130.37,134.77,147.95,141.11,14:55:59
134.77,140.62,137.21,131.35,14:56:00
131.84,135.25,134.77,137.21,14:56:01
125.49,135.74,148.44,147.46,14:56:02
128.91,142.58,145.02,138.67,14:56:03
135.74,141.11,137.7,131.35,14:56:04
131.35,135.74,135.25,137.7,14:56:06
129.39,132.81,138.67,149.9,14:56:07
125.98,135.25,148.44,147.46,14:56:08
128.91,142.58,145.51,137.7,14:56:09
132.81,141.11,138.18,133.3,14:56:10
136.72,142.09,135.74,130.37,14:56:11
136.23,142.58,137.21,129.88,14:56:12
135.74,137.21,134.77,132.81,14:56:13
128.91,133.3,137.7,146.97,14:56:14
126.46,142.09,147.46,138.67,14:56:15
135.74,143.07,135.25,134.28,14:56:16
135.25,137.21,134.77,132.81,14:56:17
136.23,138.67,134.28,131.35,14:56:18
132.32,133.79,135.74,141.6,14:56:19
125.49,133.3,143.55,151.37,14:56:20
127.93,138.67,148.44,143.55,14:56:21
133.79,143.55,142.58,132.81,14:56:22
136.23,138.67,134.77,130.86,14:56:23
132.32,133.3,134.77,140.14,14:56:24
125.98,137.7,148.93,142.09,14:56:25
133.3,143.55,142.09,132.81,14:56:26
135.25,144.04,142.58,131.84,14:56:27
132.32,144.04,144.04,131.84,14:56:28
135.74,139.16,136.23,129.88,14:56:29
136.23,140.14,136.23,129.39,14:56:30
131.84,134.28,134.77,138.18,14:56:31
128.42,130.86,130.37,136.72,14:56:32
123.54,129.39,138.18,151.37,14:56:33
128.42,137.21,144.53,144.04,14:56:34
128.91,141.11,136.23,112.79,14:56:35
326.66,375.98,390.62,374.51,14:56:36
0.0,0.0,0.0,0.0,14:56:37
0.0,0.0,0.0,0.0,14:56:38
0.0,0.0,0.0,0.0,14:56:39
0.0,0.0,0.0,0.0,14:56:40
0.0,0.0,0.0,0.0,14:56:41
0.0,0.0,0.0,0.0,14:56:42
0.0,0.0,0.0,0.0,14:56:43
0.0,0.0,0.0,0.0,14:56:44
0.0,0.0,0.0,0.0,14:56:45
0.0,0.0,0.0,0.0,14:56:46
76.17,91.31,105.47,103.03,14:56:47
90.33,111.33,127.93,111.82,14:56:48
117.68,124.51,126.46,117.68,14:56:50
121.58,126.46,127.93,122.07,14:56:51
120.61,124.51,129.88,131.35,14:56:52
123.05,125.49,130.37,140.14,14:56:53
119.14,132.32,145.02,137.7,14:56:54
124.02,137.21,136.72,127.93,14:56:55
131.35,133.79,132.32,127.93,14:56:56
125.0,128.91,132.81,140.62,14:56:57
121.58,129.39,141.11,148.93,14:56:58
122.07,128.42,139.65,150.39,14:56:59
123.05,133.79,146.97,143.07,14:57:00
125.0,139.16,140.62,134.28,14:57:01
132.32,137.21,134.77,130.86,14:57:02
132.32,131.84,133.3,136.23,14:57:03
128.91,132.32,133.3,137.21,14:57:04
125.0,130.37,138.67,148.93,14:57:05
124.02,134.28,146.48,145.02,14:57:06
128.91,140.62,143.55,134.77,14:57:07
133.3,138.67,135.74,130.37,14:57:08
134.28,134.28,133.3,133.3,14:57:09
130.37,133.3,133.3,134.28,14:57:10
127.93,131.35,136.72,146.0,14:57:11
125.49,130.86,135.74,146.97,14:57:12
127.44,130.86,135.25,145.51,14:57:13
125.0,132.32,144.04,149.9,14:57:14
128.91,140.62,139.65,133.79,14:57:15
134.77,135.25,133.3,131.84,14:57:16
130.86,131.84,134.28,140.62,14:57:17
127.93,131.84,133.79,142.58,14:57:18
125.49,133.79,140.14,150.39,14:57:19
125.0,137.21,146.97,137.21,14:57:20
129.39,141.11,142.58,134.77,14:57:21
134.77,138.67,134.28,130.37,14:57:22
134.77,139.16,135.25,129.88,14:57:23
132.32,132.32,133.3,135.25,14:57:24
125.49,131.84,138.67,148.44,14:57:25
125.0,131.35,137.7,149.9,14:57:26
127.44,131.35,139.16,148.44,14:57:27
129.39,131.84,135.74,146.97,14:57:28
125.0,132.81,143.55,150.39,14:57:29
125.49,131.84,142.58,147.95,14:57:30
128.91,141.11,140.14,134.77,14:57:31
134.77,142.58,140.62,131.84,14:57:32
130.86,142.09,136.72,132.32,14:57:34
129.88,132.81,134.28,139.65,14:57:35
125.49,131.84,140.62,149.9,14:57:36
125.0,132.32,139.65,150.88,14:57:37
126.46,136.23,146.97,145.51,14:57:38
125.98,135.25,146.97,144.04,14:57:39
126.95,139.16,135.74,134.77,14:57:40
129.88,132.81,133.79,139.65,14:57:41
125.98,131.84,139.16,149.9,14:57:42
125.98,131.35,139.65,150.88,14:57:43
125.0,135.25,143.55,140.14,14:57:44
127.44,140.62,145.02,140.14,14:57:45
128.42,141.11,144.53,136.72,14:57:46
133.79,140.14,134.77,136.72,14:57:47
125.98,131.84,138.18,147.46,14:57:48
134.28,139.16,137.21,130.86,14:57:49
134.77,139.65,136.72,129.88,14:57:50
131.84,133.3,133.79,135.25,14:57:51
125.49,131.84,137.7,148.44,14:57:52
126.46,131.84,137.7,149.41,14:57:53
125.49,134.77,146.97,147.95,14:57:54
126.95,141.11,144.04,137.21,14:57:55
129.88,141.6,139.16,133.79,14:57:56
132.32,133.79,134.77,138.18,14:57:57
130.86,133.3,137.7,147.95,14:57:58
125.49,136.23,146.0,145.02,14:57:59
130.86,142.09,142.58,134.28,14:58:00
135.25,137.7,133.3,130.37,14:58:01
177.73,166.99,156.25,146.97,15:00:25
143.07,144.53,142.58,144.04,15:00:26
132.81,138.18,145.51,146.97,15:00:27
130.37,142.09,146.97,142.09,15:00:28
173.83,161.62,157.71,159.18,15:02:20
135.74,144.53,152.83,151.37,15:02:21
133.3,145.02,147.95,143.07,15:02:22
132.32,142.58,146.97,142.09,15:02:23
137.7,138.18,135.25,134.77,15:02:24
129.39,133.3,137.21,146.48,15:02:25
125.98,133.79,145.02,151.86,15:02:26
126.46,142.58,140.14,135.74,15:02:27
136.23,138.18,134.28,132.81,15:02:28
130.86,132.81,134.77,142.09,15:02:29
132.81,132.81,134.28,141.11,15:02:30
125.49,132.32,141.6,151.86,15:02:31
125.49,137.21,148.44,146.0,15:02:32
128.42,142.58,142.09,135.25,15:02:33
136.23,139.16,135.25,130.86,15:02:34
134.77,133.79,133.79,137.7,15:02:35
128.91,132.32,140.14,149.41,15:02:36
125.98,131.84,139.16,151.37,15:02:37
125.49,135.74,147.95,147.95,15:02:38
131.35,142.58,145.02,136.72,15:02:39
134.28,139.16,137.21,133.3,15:02:40
175.29,160.16,156.25,162.11,15:02:59
134.77,140.62,145.51,157.71,15:03:00
131.35,136.23,142.09,155.76,15:03:01
129.39,134.77,140.62,154.3,15:03:02
127.44,137.21,148.93,149.9,15:03:03
129.39,143.55,144.04,137.7,15:03:04
137.21,140.14,135.74,131.84,15:03:05
131.84,133.79,134.28,140.62,15:03:06
126.46,132.32,140.62,151.86,15:03:07
125.98,140.14,148.93,146.97,15:03:08
128.91,142.58,142.09,135.74,15:03:09
133.3,132.81,134.28,142.09,15:03:10
126.46,132.81,142.09,151.37,15:03:11
125.49,132.32,147.46,153.32,15:03:12
126.46,138.18,147.95,143.55,15:03:13
125.49,138.67,148.93,144.04,15:03:14
126.95,139.65,148.93,142.09,15:03:15
132.32,139.65,140.14,133.3,15:03:16
136.23,137.21,133.79,133.3,15:03:17
136.23,137.21,134.28,132.81,15:03:18
131.84,136.23,133.79,134.28,15:03:19
125.98,131.84,137.21,149.41,15:03:20
125.49,134.28,147.46,148.93,15:03:21
126.46,142.09,146.0,139.65,15:03:22
134.77,134.28,133.79,137.21,15:03:23
125.0,131.84,139.16,151.86,15:03:24
126.95,142.09,143.55,135.74,15:03:25
134.28,139.16,137.21,133.79,15:03:26
